timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763425183985,4.2,2025-11-17 21:19:43.985000-03:00
1763425123444,5.1,2025-11-17 21:18:43.444000-03:00
1763425063113,5.7,2025-11-17 21:17:43.113000-03:00
1763425002794,6.1,2025-11-17 21:16:42.794000-03:00
1763424942461,5.6,2025-11-17 21:15:42.461000-03:00
1763424882099,5.1,2025-11-17 21:14:42.099000-03:00
1763424821768,4.6,2025-11-17 21:13:41.768000-03:00
1763424761441,4.2,2025-11-17 21:12:41.441000-03:00
1763424701114,3.8,2025-11-17 21:11:41.114000-03:00
1763424640789,3.4,2025-11-17 21:10:40.789000-03:00
1763424580471,3.6,2025-11-17 21:09:40.471000-03:00
1763424520127,4.5,2025-11-17 21:08:40.127000-03:00
1763424459810,5.3,2025-11-17 21:07:39.810000-03:00
1763424399474,5.9,2025-11-17 21:06:39.474000-03:00
1763424339148,5.9,2025-11-17 21:05:39.148000-03:00
1763424278817,5.5,2025-11-17 21:04:38.817000-03:00
1763424218238,5.0,2025-11-17 21:03:38.238000-03:00
1763424177645,4.5,2025-11-17 21:02:57.645000-03:00
1763424097590,4.0,2025-11-17 21:01:37.590000-03:00
1763424037257,3.7,2025-11-17 21:00:37.257000-03:00
1763423976931,3.4,2025-11-17 20:59:36.931000-03:00
1763423916603,3.8,2025-11-17 20:58:36.603000-03:00
1763423856275,4.7,2025-11-17 20:57:36.275000-03:00
1763423795952,5.5,2025-11-17 20:56:35.952000-03:00
1763423735618,6.0,2025-11-17 20:55:35.618000-03:00
1763423674947,5.8,2025-11-17 20:54:34.947000-03:00
1763423614611,5.3,2025-11-17 20:53:34.611000-03:00
1763423554289,4.8,2025-11-17 20:52:34.289000-03:00
1763423493964,4.3,2025-11-17 20:51:33.964000-03:00
1763423433623,3.9,2025-11-17 20:50:33.623000-03:00
1763423373298,3.5,2025-11-17 20:49:33.298000-03:00
1763423312751,3.4,2025-11-17 20:48:32.751000-03:00
1763423252420,4.1,2025-11-17 20:47:32.420000-03:00
1763423192093,5.0,2025-11-17 20:46:32.093000-03:00
1763423131768,5.7,2025-11-17 20:45:31.768000-03:00
1763423071428,6.1,2025-11-17 20:44:31.428000-03:00
1763423011105,5.7,2025-11-17 20:43:31.105000-03:00
1763422950775,5.2,2025-11-17 20:42:30.775000-03:00
1763422890453,4.7,2025-11-17 20:41:30.453000-03:00
1763422830095,4.2,2025-11-17 20:40:30.095000-03:00
1763422769767,3.8,2025-11-17 20:39:29.767000-03:00
1763422709436,3.4,2025-11-17 20:38:29.436000-03:00
1763422649110,3.6,2025-11-17 20:37:29.110000-03:00
1763422588780,4.4,2025-11-17 20:36:28.780000-03:00
1763422528459,5.2,2025-11-17 20:35:28.459000-03:00
1763422468141,5.8,2025-11-17 20:34:28.141000-03:00
1763422407521,6.0,2025-11-17 20:33:27.521000-03:00
