timestamp,temperatura_pr1,date (America/Sao_Paulo)
1763348328021,4.8,2025-11-16 23:58:48.021000-03:00
1763348267634,5.6,2025-11-16 23:57:47.634000-03:00
1763348207303,6.0,2025-11-16 23:56:47.303000-03:00
1763348146976,5.8,2025-11-16 23:55:46.976000-03:00
1763348086649,5.3,2025-11-16 23:54:46.649000-03:00
1763348026329,4.8,2025-11-16 23:53:46.329000-03:00
1763347966002,4.3,2025-11-16 23:52:46.002000-03:00
1763347905668,3.9,2025-11-16 23:51:45.668000-03:00
1763347845338,3.5,2025-11-16 23:50:45.338000-03:00
1763347785014,3.8,2025-11-16 23:49:45.014000-03:00
1763347724708,4.7,2025-11-16 23:48:44.708000-03:00
1763347664367,5.4,2025-11-16 23:47:44.367000-03:00
1763347604036,5.9,2025-11-16 23:46:44.036000-03:00
1763347543717,5.9,2025-11-16 23:45:43.717000-03:00
1763347483320,5.4,2025-11-16 23:44:43.320000-03:00
1763347422995,4.9,2025-11-16 23:43:42.995000-03:00
1763347362667,4.4,2025-11-16 23:42:42.667000-03:00
1763347302337,3.9,2025-11-16 23:41:42.337000-03:00
1763347242012,3.5,2025-11-16 23:40:42.012000-03:00
1763347181621,3.7,2025-11-16 23:39:41.621000-03:00
1763347121299,4.6,2025-11-16 23:38:41.299000-03:00
1763347060982,5.4,2025-11-16 23:37:40.982000-03:00
1763347000644,5.9,2025-11-16 23:36:40.644000-03:00
1763346940316,6.0,2025-11-16 23:35:40.316000-03:00
1763346879989,5.5,2025-11-16 23:34:39.989000-03:00
1763346819664,5.0,2025-11-16 23:33:39.664000-03:00
1763346759333,4.5,2025-11-16 23:32:39.333000-03:00
1763346699006,4.0,2025-11-16 23:31:39.006000-03:00
1763346638516,3.5,2025-11-16 23:30:38.516000-03:00
1763346578183,3.6,2025-11-16 23:29:38.183000-03:00
1763346517641,4.4,2025-11-16 23:28:37.641000-03:00
1763346457313,5.3,2025-11-16 23:27:37.313000-03:00
1763346396989,5.9,2025-11-16 23:26:36.989000-03:00
1763346336662,6.0,2025-11-16 23:25:36.662000-03:00
1763346276331,5.5,2025-11-16 23:24:36.331000-03:00
1763346216008,5.0,2025-11-16 23:23:36.008000-03:00
1763346155631,4.4,2025-11-16 23:22:35.631000-03:00
